Date,Team,Acquired,Relinquished,Notes
1985-10-19, Warriors, ,Greg Ballard, arthroscopic surgery on right knee to repair torn cartilage (out indefinitely)
1985-10-25, Lakers, ,Earvin Johnson / Magic Johnson, shingles (DTD)
1985-10-28, Suns, ,Bernard Thompson, stress fracture in left ankle (out 3-4 weeks)
1985-10-29, Bulls, ,Michael Jordan (Jeffrey), fractured navicular tarsal bone in left foot
1985-10-29, Knicks, ,Bill Cartwright, broken metatarsal bone in his left foot (out 4+ weeks)
1985-11-04, 76ers, ,Andrew Toney, stress fracture in right foot (out ~3 weeks)
1985-11-05, Clippers, ,Derek Smith, torn cartilage in left knee (date approximate)
1985-11-06, Knicks, ,James Bailey, partial tear in left knee (out indefinitely)
1985-11-10, Clippers, ,Derek Smith, arthroscopic surgery on left knee to repair torn cartilage (date approximate)
1985-11-18, Blazers, ,Clyde Drexler, stress fracture in left leg
1985-11-21, Cavaliers, ,World B. Free / Lloyd Free, pulled right hamstring (out indefinitely)
1985-12-03, 76ers, ,Sedale Threatt, pulled abdominal muscle (out indefinitely)
1985-12-04, Blazers, ,Kiki Vandeweghe, bruised bone in lower right leg (DTD)
1985-12-11, Bullets, ,Jeff Ruland, sprained right ankle (DTD)
1985-12-12, Celtics, ,Dennis Johnson, hyperextended left thumb (DTD)
1985-12-25, Knicks, ,Patrick Ewing (Sr.), sprained right knee
1985-12-27, Knicks, ,Patrick Ewing (Sr.), sprained right knee (DNP)
1985-12-29, Bullets, ,Frank Johnson, fractured fourth metatarsal bone in left foot (DTD)
1986-01-15, 76ers, ,Charles Barkley, lower back injury (DNP)
1986-01-15, Spurs, ,Johnny Moore, diagnosed with desert fever (out for season)
1986-01-24, Knicks,Bill Cartwright, , returned to lineup
1986-03-01, Lakers, ,Mitch Kupchak, knee injury (date approximate)
1986-03-26, Knicks, ,Hubie Brown, flu (missed game)
1986-04-09, Bucks, ,Derrick Rowland, arthroscopic surgery on knee (out indefinitely)
1986-09-29, Suns, ,Charles Jones (Alexander), stress fracture in shin (out 2+ months)
1986-10-02, Celtics, ,Bill Walton, fractured left pinky finger (DTD)
1986-10-07, 76ers, ,Cliff Robinson, minor separation of right shoulder (DTD)
1986-10-07, 76ers, ,Roy Hinson, sore right knee (DTD)
1986-10-12, Suns, ,William Bedford, surgery on right knee to remove bone chips
1986-10-13, Knicks, ,Bill Cartwright, left hand injury (out indefinitely)
1986-10-16, Hawks, ,Antoine Carr, burns on right foot and lower right leg (DTD)
1986-10-18, Hawks,Antoine Carr, , discharged from hospital
1986-10-21, Bulls, ,Gene Banks, broken right foot (out 6-7 weeks)
1986-10-23, Bucks, ,Scott Skiles, bulging disc in back (out 3-5 weeks)
1986-10-23, Celtics, ,Danny Ainge, injured vertebrae (missed entire pre-season)
1986-10-25, Lakers, ,A.C. Green, torn ligament in left thumb (out indefinitely)
1986-11-01, Nuggets, ,Calvin Natt, surgery to repair torn right Achilles tendon (out for season)
1986-11-08, Blazers, ,Sam Bowie, fractured right leg (date approximate)
1986-11-11, 76ers, ,Jeff Ruland, swollen left knee (DTD)
1986-11-12, 76ers, ,Jeff Ruland, arthroscopic surgery on left knee (date approximate)
1986-11-19, 76ers, ,Danny Vranes, broken nose (DTD)
1986-11-20, Bullets, ,Frank Johnson, fractured fourth metatarsal bone in left foot (out indefinitely)
1986-11-20, Clippers, ,Marques Johnson, bruised spinal cord / ruptured disc in neck (out indefinitely)
1986-11-20, Suns, ,Bernard Thompson, surgery on left shin to repair stress fracture
1986-11-24, Lakers, ,Kurt Rambis, dislocated right index finger (DTD)
1986-12-08, Rockets, ,Robert Reid, arthroscopic surgery on right knee (date approximate)
1986-12-24, Hawks, ,Anthony Webb / Spud Webb, right knee injury (out indefinitely)
1986-12-25, Hawks, ,Anthony Webb / Spud Webb, arthroscopic surgery on left knee (out indefinitely)
1986-12-27, Jazz, ,Darrell Griffith, shoulder injury (out indefinitely) (date approximate)
1987-01-07, Celtics, ,Larry Bird, strained lower back (DNP)
1987-01-08, Bucks, ,Paul Pressey, surgery on right ring finger to repair partially divided tendon (out indefinitely)
1987-01-14, Suns, ,Larry Nance (Sr.), sprained right ankle (DTD)
1987-01-20, Warriors, ,Chris Washburn, kidney ailment (out 3 games)
1987-02-18, 76ers, ,Julius Erving, fractured middle finger on right hand (out indefinitely)
1987-02-20, Knicks, ,Pat Cummings, right ring finger injury (out 2+ games)
1987-02-28, Celtics, ,Dennis Johnson, foot injury (DTD)
1987-03-06, Blazers, ,Sam Bowie, surgery on right leg for bone graft
1987-03-14, Knicks, ,Jawann Oldham, injured MCL in left knee (out indefinitely)
1987-04-02, Sonics, ,Alton Lister, broken bone in foot (out indefinitely)
1987-04-30, Jazz, ,Rickey Green, hamstring injury (DTD)
1987-05-10, Celtics, ,Kevin McHale, sprained right ankle (DTD)
1987-06-01, Bulls, ,Gene Banks, torn Achilles tendon (date approximate)
1987-06-01, Celtics, ,Kevin McHale, surgery on foot (date approximate)
1987-07-01, Rockets, ,Robert Reid, surgery on knee (date approximate)
1987-07-07, 76ers, ,Andrew Toney, surgery on right ankle to clean out loose debris
1987-07-20, Nuggets, ,Bill Hanzlik, appendectomy (out indefinitely)
1987-07-20, Pistons, ,Sidney Green, minor injuries suffered in car accident
1987-08-17, Clippers, ,Lancaster Gordon, arthroscopic surgery on right knee (out indefinitely)
1987-08-18, Nuggets, ,Bill Hanzlik, surgery on back to repair herniated disc (date approximate)
1987-09-28, Blazers, ,Ronnie Murphy, toe injury (out indefinitely)
1987-10-01, Spurs, ,Mike Mitchell, arthroscopic surgery on knee (date approximate)
1987-10-02, Blazers, ,Jim Paxson (Jr.), surgery on toe (out indefinitely)
1987-10-13, Lakers, ,Michael Cooper, throat ailment (DTD)
1987-10-13, Suns, ,Kenny Gattison, ligament damage and torn cartilage in left knee (out for season)
1987-10-20, Nets, ,Keith Lee, bone bruise in left leg (out 4-6 weeks)
1987-10-21, Blazers, ,Sam Bowie, broken bone in right leg (out indefinitely)
1987-10-21, Warriors, ,Larry Smith, pulled thigh muscle (out 2+ weeks)
1987-10-26, Cavaliers, ,Kent Benson, hyperextended elbow (out 3-5 weeks)
1987-10-26, Suns, ,Larry Nance (Sr.), fractured ring finger on right hand (out ~4 weeks)
1987-11-04, Bullets, ,Manute Bol, strained & bruised left knee (DTD)
1987-11-04, Nets, ,Tony Brown (William), surgery on right foot (out for season)
1987-11-08, Cavaliers, ,Ron Harper (Sr.), fractured left footm sprained left ankle (out indefinitely)
1987-11-12, Lakers, ,Jeff Lamp, shoulder injury (out indefinitely)
1987-11-24, Lakers, ,Jeff Lamp, surgery on shoulder (out for season)
1987-11-29, 76ers, ,Roy Hinson, broken finger (out 2+ weeks)
1987-11-29, 76ers, ,Tim McCormick, shoulder injury (out 2+ weeks)
1987-11-30, Nets, ,Orlando Woolridge, stress fracture in foot (out indefinitely)
1987-12-02, Bucks, ,Larry Krystkowiak, sprained left ankle (DTD)
1987-12-10, 76ers, ,Christian Welp, atrthroscopic surgery on left knee
1987-12-13, Nets, ,Buck Williams, sprained right ankle (out indefinitely)
1988-01-05, Mavericks, ,Rolando Blackman, sprained knee (out ~5 games)
1988-01-06, Nuggets, ,Calvin Natt, hospitalized for phlebitis in left calf
1988-01-22, 76ers, ,Cliff Robinson," strained lower back, muscle spasms (DTD)"
1988-03-02, Nuggets, ,Calvin Natt, surgery on knee (date approximate)
1988-03-21, Kings, ,Reggie Theus, torn calf muscle (out 10+ days)
1988-03-22, Blazers, ,Ronnie Murphy, stress fracture in right foot (out for season)
1988-03-24, Kings, ,Derek Smith, fractured left eye rim (ouf for season)
1988-03-26, Lakers, ,Earvin Johnson / Magic Johnson, strained right groin muscle (DTD)
1988-03-26, Lakers, ,Michael Cooper, sprained left ankle (DTD)
1988-03-29, Blazers, ,Sam Bowie, surgery on broken right tibia
1988-03-29, Kings, ,LaSalle Thompson, right knee injury (out for season)
1988-03-30, Kings, ,Derek Smith, surgery to repair fractured left eye rim (out for season)
1988-04-24, Cavaliers, ,Kevin Henderson, admitted to clinic for emotional problems
1988-05-13, Sonics, ,Xavier McDaniel, arthroscopic surgery on right knee to repair small tear (out indefinitely)
1988-05-27, Nuggets, ,Lafayette Lever / Fat Lever, arthroscopic surgery on right knee
1988-07-07, Mavericks, ,Detlef Schrempf, surgery on left ankle to repair stress fracture
1988-07-12, Pistons, ,Rick Mahorn, surgery to remove ruptured disc (out indefinitely)
1988-07-25, Bulls, ,Scottie Pippen, surgery on back to remove herniated disc
1988-08-03, Heat, ,John Stroeder, infected right big toe (DTD)
1988-08-18, Jazz, ,Bart Kofoed, surgery on foot to repair stress fracture (out indefinitely)
1988-08-27, Suns, ,Dean Garrett, fractured right foot (out 10-12 weeks)
1988-09-01, Hawks, ,Kevin Willis, broken left foot (out for season) (date approximate)
1988-10-05, Nets, ,Dennis Hopson, sprained ankle (out indefintely)
1988-10-07, Hornets, ,Dell Curry, fractured left wrist (out 12+ weeks)
1988-10-10, Nuggets, ,Maurice Martin / Mo Martin, reconstructive surgery on right knee (out indefinitely)
1988-10-21, Jazz, ,Bobby Hansen, broken left hand (out indefinitely)
1988-10-25, 76ers, ,Maurice Cheeks, pulled groin (out indefinitely)
1988-10-30, Bucks, ,Jeff Grayer, chicken pox (out ~3 weeks)
1988-10-31, Pacers, ,Steve Stipanovich, arthroscopic surgery on left knee (out 6+ weeks)
1988-11-01, Nuggets, ,Bill Hanzlik, back injury (out indefinitely)
1988-11-12, Spurs, ,Petur Gudmundsson, sugery on knee (out 6-8 weeks) (date approximate)
1988-12-15, Suns, ,Dean Garrett, re-injured right foot
1988-12-26, Blazers, ,Craig Neal, injuries suffered in car accident (DTD)
1988-12-29, Suns, ,Dean Garrett, surgery on fractured right foot
1989-01-01, Clippers, ,Danny Manning, torn ACL in right knee (out indefinitely) (date approximate)
1989-01-04, 76ers, ,Cliff Robinson, arthroscopic surgery on knee (date approximate)
1989-01-11, Pistons, ,Joe Dumars, broken middle finger on left hand (out indefinitely)
1989-01-22, Nuggets, ,Jerome Lane, sprained ankle (DTD)
1989-03-01, Chaparrals (ABA), ,Cliff Hagan, back injury (DTD) (date approximate)
1989-03-11, Nuggets, ,Lafayette Lever / Fat Lever, sore left knee (DTD)
1989-03-20, Blazers, ,Steve Johnson, tendinitis in both knees (DTD)
1989-03-21, Blazers, ,Sam Bowie, injured right ankle (DNP)
1989-03-28, Celtics, ,Jim Paxson (Jr.), surgery on right wrist (out for season) (date approximate)
1989-05-14, Bucks, ,Larry Krystkowiak, torn ACL in knee (out for season)
1989-05-14, Warriors, ,Otis Smith, scratched & bruised left eye (DTD)
1989-05-14, Warriors, ,Terry Teagle, bruised left knee (DTD)
1989-05-31, Knicks, ,Patrick Ewing (Sr.), arthroscopic surgery on right knee (out indefinitely)
1989-06-27, Cavaliers, ,Larry Nance (Sr.), surgery on left ankle to repair frayed tendon (out indefinitely)
1989-10-23, Bullets, ,Tracy Moore, stomach virus (DTD)
1989-10-29, Bucks, ,Greg Anderson / Cadillac Anderson (Wayne), surgery on knee to repair torn cartilage (out 4-6 weeks)
1989-11-08, Magic, ,Dave Corzine, torn ACL in knee (out indefinitely)
1989-11-24, Cavaliers, ,Wayne Rollins / Tree Rollins, sprained left knee (DTD)
1990-01-13, Mavericks, ,Sam Perkins, flu (DNP)
1990-01-13, Sonics, ,Dale Ellis, three fractured ribs and a collapsed lung (suffered in car accident)
1990-01-16, Clippers, ,Ron Harper (Sr.), torn ACL in right knee (out indefinitely)
1990-01-23, Clippers, ,Ron Harper (Sr.), surgery on right knee to repair torn ACL and partially remove torn cartilage (out indefinitely)
1990-01-23, Hawks, ,Dominique Wilkins, sprained ankle (DTD)
1990-02-01, Clippers, ,Tom Garrick, left knee tendinitis (DTD)
1990-02-03, Mavericks, ,Adrian Dantley, fractured right leg (out indefinitely)
1990-02-03, Nets, ,Roy Hinson, knee injury (out for season)
1990-02-05, Clippers,Tom Garrick, , returned to lineup
1990-10-05, Lakers, ,Tony Smith (Anton), failed physical (irregularity in the results of his stress test) (date approximate)
1990-10-08, Nuggets, ,Bill Hanzlik, recovery from surgery on back to repair herniated disk (out for season)
1990-10-09, Lakers,Tony Smith (Anton), , returned to lineup (passed second physical)
1990-10-15, Nets, ,Dan Godfread, foot injury (DTD)
1990-10-16, Celtics, ,Dee Brown (a), infected bit toe (DTD)
1990-11-08, 76ers, ,Johnny Dawkins, torn ACL in right knee (out indefinitely)
1990-11-09, Mavericks, ,Roy Tarpley, torn ACL in knee (out indefinitely)
1990-11-12, Mavericks, ,Roy Tarpley, surgery on knee to repair torn ACL (date approximate)
1990-11-16, 76ers, ,Johnny Dawkins, surgery on right knee to repair torn ACL (date approximate)
1990-11-16, Warriors, ,Mitch Richmond, fractured thumb (out indefinitely)
1990-11-30, Cavaliers, ,Mark Price, torn ACL in knee (out indefinitely)
1990-12-08, Knicks, ,Kiki Vandeweghe, bruised right thigh (DTD)
1990-12-21, Nuggets, ,Orlando Woolridge, surgery on right eye to repair detached retina (out indefinitely)
1990-12-26, Nets, ,Derrick Coleman, knee injury (DTD)
1991-01-04, Rockets, ,Hakeem Olajuwon, fractured right orbit bone (out indefinitely)
1991-01-14, 76ers, ,Charles Barkley, foot injury and hairline fracture in left ankle (DTD)
1991-01-14, Rockets, ,Hakeem Olajuwon, surgery on right eye (out indefinitely)
1991-01-28, Hawks, ,Dominique Wilkins, ruptured Achilled tendon (out for season)
1991-01-31, Pistons, ,Isiah Thomas, surgery on right wrist (out indefinitely)
1991-02-06, Celtics, ,Larry Bird, back injury (DNP)
1991-02-13, Hawks, ,Rumeal Robinson, small tear in lateral meniscus in right knee (DTD)
1991-02-13, Heat, ,Jon Sundvold, pneumonia and sinusitis (out indefinitely)
1991-03-28, Clippers, ,Gary Grant, arthroscopic surgery on right knee
1991-04-02, Rockets, ,Kenny Smith, sprained foot (DTD)
1991-04-17, Nuggets, ,Chris Jackson / Mahmoud Abdul-Rauf, surgery on feet to remove extra bones
1991-04-17, Nuggets, ,Michael Adams, cold and stiff neck (DTD)
1991-05-09, Bucks, ,Brad Lohaus, arthroscopic surgery on left knee to repair torn cartilage
1991-07-01, Cavaliers, ,Danny Ferry, surgery on right knee to repair small tear in cartilage
1991-07-09, Celtics, ,Derek Smith, arthroscopic surgery on left knee to remove small piece of cartilage
1991-10-01, Celtics, ,Kevin McHale, recovering from surgery on ankle (date approximate)
1991-10-07, Celtics, ,Kennard Winchester, pulled groin (DTD)
1991-10-09, Celtics,Kennard Winchester, , returned to lineup
1991-10-29, Celtics, ,Dee Brown (a), torn cartilage in left knee
1991-10-29, Sonics, ,Shawn Kemp, sprained ankle (DTD)
1991-10-30, Celtics, ,Dee Brown (a), arthroscopic surgery on left knee to repair torn cartilage
1991-10-30, Pacers, ,George McCloud, surgery on right thumb to repair torn ligament (out ~6 weeks)
1991-11-08, Bulls, ,Craig Hodges, surgery on left knee to repair torn cartilage (out indefinitely)
1991-11-12, Hawks, ,Travis Mays, surgery on right ankle to repair two ruptured tendons (out indefinitely)
1991-12-05, Mavericks, ,Lafayette Lever / Fat Lever, left knee injury (DTD)
1991-12-26, Mavericks,Lafayette Lever / Fat Lever, , returned to lineup
1992-01-28, Hawks, ,Dominique Wilkins, ruptured right Achilles tendon (out for season)
1992-01-29, Mavericks, ,Lafayette Lever / Fat Lever, arthroscopic surgery on left knee (out for season)
1992-01-30, Hawks, ,Dominique Wilkins, surgery to repair ruptured right Achilles tendon (out for season)
1992-02-18, Nuggets, ,Anthony Cook, dislocated shoulder (out indefinitely)
1992-02-19, Nuggets, ,Anthony Cook, surgery to repair dislocated shoulder (date approximate)
1992-04-08, Heat, ,Willie Burton, player entered a medical facility for treatment of depression (out for season)
1992-07-01, Spurs, ,Terry Cummings, torn ACL in knee (out indefinitely) (date approximate)
1992-08-30, Rockets, ,Dave Jamerson, torn ACL in left knee (out indefinitely)
1992-08-31, Bulls, ,Scottie Pippen, surgery on right ankle and left wrist to remove scar tissue
1992-09-11, Pacers, ,Rik Smits, arthroscopic surgery on left knee (out indefinitely)
1992-09-17, Blazers, ,Clyde Drexler, arthroscopic surgery on right knee to clean out loose cartilage
1992-10-16, Nuggets, ,Anthony Cook, ruptured patella tendon in right knee (out for season)
1992-10-21, Blazers, ,Dave Johnson, sprained right foot (DTD)
1992-10-30, Hawks, ,Stacey Augmon, surgery on left knee to remove bone chips (out indefinitely)
1992-10-30, Rockets, ,Dave Jamerson, surgery on left knee to repair torn ACL (out indefinitely)
1992-11-13, Hawks,Stacey Augmon, , returned to lineup
1992-12-15, Hawks, ,Dominique Wilkins, broken fourth finger on right hand (out indefinitely)
1993-02-23, Cavaliers, ,Mike Sanders, arthroscopic surgery on left knee to repair torn cartilage
1993-03-23, Nets, ,Drazen Petrovic, sprained MCL in left knee (out indefinitely)
1993-03-25, Bulls, ,Jerry Krause, general manager hospitalized with chest pains
1993-04-06, Cavaliers, ,Jerome Lane, shoulder injury (DNP)
1993-04-08, Cavaliers, ,Jerome Lane, shoulder injury (DNP)
1993-04-22, Cavaliers, ,Larry Nance (Sr.), broken left index finger (DTD)
1993-04-22, Rockets, ,Vernon Maxwell, broken wrist (DTD)
1993-07-01, Celtics, ,John Bagley, arthroscopic surgery on right knee to repair torn cartilage (out for season)
1993-09-01, Warriors, ,Sarunas Marciulionis, torn ACL in knee (out indefinitely) (date approximate)
1993-10-01, Warriors, ,Tim Hardaway Sr., torn ACL in knee (out indefinitely) (date approximate)
1993-12-01, Knicks, ,Glenn Rivers / Doc Rivers, torn ACL in knee (out indefinitely) (date approximate)
1994-01-10, Lakers, ,Antonio Harvey, strained left hip muscle (out indefinitely)
1994-01-12, Pacers, ,Vern Fleming, pulled right hamstring (DNP) (date approximate)
1994-01-14, Bulls, ,Toni Kukoc, ankle injury (DNP)
1994-01-14, Pacers, ,Vern Fleming, pulled right hamstring (DNP) (date approximate)
1994-01-18, Hornets, ,Joe Wolf, hyperextended right knee
1994-02-05, Mavericks, ,Terry Davis," surgery to remove scar tissue, calcium deposits, and wiring from left elbow"
1994-02-18, 76ers, ,Shawn Bradley, dislocated kneecap (DTD)
